,RIDE_ID,started_on,completed_on,start_location_long,start_location_lat,distance_travelled,end_location_lat,end_location_long,active_driver_id,rider_id,base_fare,total_fare,rate_per_mile,rate_per_minute,time_fare,driving_time_to_rider,driver_id,car_id,make,model,year,start_date
1421937,1421937,2017-04-05 00:07:12+00:00,2017-04-05 00:23:54+00:00,-97.738,30.284,13582.0,30.235,-97.783,652301,3756,1.5,16.2,0.99,0.25,4.18,330.0,4838,4838,b'Hyundai',b'Elantra',b'2014',2017-04-05
1421938,1421938,2017-04-05 00:07:28+00:00,2017-04-05 00:24:00+00:00,-97.692,30.315,9014.0,30.266,-97.735,652345,124542,1.5,13.32,0.99,0.25,4.14,362.0,3974,3974,b'Toyota',b'Camry',b'2007',2017-04-05
1421939,1421939,2017-04-05 00:07:42+00:00,2017-04-05 00:15:11+00:00,-97.723,30.252,2678.0,30.264,-97.741,652346,85428,1.5,7.09,0.99,0.25,1.87,226.0,3981,3981,b'Nissan',b'Rogue',b'2009',2017-04-05
1421940,1421940,2017-04-05 00:07:50+00:00,2017-04-05 00:13:28+00:00,-97.743,30.253,2489.0,30.258,-97.739,652347,191380,1.5,6.5,0.99,0.25,1.41,315.0,3802,3802,b'Infiniti',b'G35',b'2004',2017-04-05
1421941,1421941,2017-04-05 00:07:58+00:00,2017-04-05 00:15:23+00:00,-97.729,30.264,4838.0,30.251,-97.749,652056,251394,1.5,8.42,0.99,0.25,1.86,116.0,659,659,b'Saturn',b'VUE',b'2008',2017-04-05
1421942,1421942,2017-04-05 00:08:14+00:00,2017-04-05 00:28:43+00:00,-97.753,30.27,25277.0,30.203,-97.668,652348,252245,1.5,24.41,0.99,0.25,5.12,80.0,2080,2080,b'Honda',b'Civic',b'2009',2017-04-05
1421943,1421943,2017-04-05 00:08:14+00:00,2017-04-05 00:27:08+00:00,-97.667,30.203,18911.0,30.25,-97.794,651888,6998,3.0,42.59,2.6,0.35,6.62,331.0,311,311,b'Toyota',b'Highlander',b'2014',2017-04-05
1421944,1421944,2017-04-05 00:08:42+00:00,2017-04-05 00:17:36+00:00,-97.729,30.314,4362.0,30.285,-97.743,651949,20514,1.5,8.49,0.99,0.25,2.23,253.0,1255,1255,b'Toyota',b'Prius c',b'2012',2017-04-05
1421945,1421945,2017-04-05 00:08:44+00:00,2017-04-05 00:25:48+00:00,-97.79,30.259,17011.0,30.172,-97.828,652349,35568,1.5,18.41,0.99,0.25,4.27,507.0,3845,3845,b'Mazda',b'3',b'2008',2017-04-05
1421946,1421946,2017-04-05 00:09:21+00:00,2017-04-05 00:25:58+00:00,-97.761,30.253,16458.0,30.145,-97.806,651909,238173,1.5,17.96,0.99,0.25,4.16,259.0,2380,2380,b'BMW',b'X5',b'2005',2017-04-05
1421947,1421947,2017-04-05 00:09:33+00:00,2017-04-05 00:25:58+00:00,-97.75,30.275,6988.0,30.229,-97.718,652350,261,1.5,12.03,0.99,0.25,4.11,190.0,4129,4129,b'Ford',b'Focus',b'2012',2017-04-05
1421948,1421948,2017-04-05 00:09:39+00:00,2017-04-05 00:10:05+00:00,-97.763,30.264,558.0,30.262,-97.759,652351,65968,1.5,6.06,0.99,0.25,0.11,170.0,2059,2059,b'Nissan',b'Sentra',b'2010',2017-04-05
1421949,1421949,2017-04-05 00:09:43+00:00,2017-04-05 00:32:00+00:00,-97.726,30.395,21503.0,30.264,-97.743,652157,252246,1.5,22.52,0.99,0.25,5.57,236.0,2843,2843,b'Toyota',b'Camry',b'2012',2017-04-05
1421950,1421950,2017-04-05 00:09:44+00:00,2017-04-05 00:18:47+00:00,-97.739,30.302,4724.0,30.28,-97.754,652203,168899,1.5,8.76,0.99,0.25,2.26,153.0,3362,3362,b'Ford',b'Focus',b'2014',2017-04-05
1421951,1421951,2017-04-05 00:09:55+00:00,2017-04-05 00:17:07+00:00,-97.742,30.266,2686.0,30.253,-97.725,651906,252165,1.5,7.02,0.99,0.25,1.8,154.0,1744,1744,b'Toyota',b'Camry',b'2012',2017-04-05
1421952,1421952,2017-04-05 00:10:03+00:00,2017-04-05 00:20:20+00:00,-97.69,30.566,13226.0,30.486,-97.674,652352,131877,1.5,14.35,0.99,0.25,2.57,639.0,2205,2205,b'Honda',b'Fit',b'2013',2017-04-05
1421953,1421953,2017-04-05 00:10:04+00:00,2017-04-05 00:18:54+00:00,-97.739,30.238,3160.0,30.225,-97.721,652250,74956,1.5,7.73,0.99,0.25,2.21,207.0,665,665,b'Chrysler',b'Town and Country',b'2007',2017-04-05
1421954,1421954,2017-04-05 00:10:06+00:00,2017-04-05 00:14:20+00:00,-97.734,30.283,1805.0,30.284,-97.72,652281,23799,1.5,6.06,0.99,0.25,1.06,331.0,1394,1394,b'Nissan',b'Altima',b'2011',2017-04-05
1421955,1421955,2017-04-05 00:10:10+00:00,2017-04-05 00:27:28+00:00,-97.667,30.203,17118.0,30.264,-97.744,652353,252247,3.0,39.11,2.6,0.35,6.06,342.0,3691,3691,b'Chrysler',b'Town and Country',b'2012',2017-04-05
1421956,1421956,2017-04-05 00:10:24+00:00,2017-04-05 00:18:46+00:00,-97.744,30.288,3125.0,30.266,-97.741,652354,89096,1.5,7.59,0.99,0.25,2.09,109.0,2170,2170,b'Hyundai',b'Elantra',b'2012',2017-04-05
1421957,1421957,2017-04-05 00:10:26+00:00,2017-04-05 00:17:02+00:00,-97.729,30.316,3778.0,30.288,-97.746,652355,118030,1.5,7.54,0.99,0.25,1.65,166.0,3829,3829,b'Kia',b'Soul',b'2013',2017-04-05
1421958,1421958,2017-04-05 00:10:46+00:00,2017-04-05 00:16:51+00:00,-97.74,30.257,1802.0,30.267,-97.743,652045,10068,1.5,6.19,0.99,0.25,1.52,279.0,4842,4842,b'Ford',b'F-150',b'2010',2017-04-05
1421959,1421959,2017-04-05 00:10:48+00:00,2017-04-05 00:29:11+00:00,-97.739,30.265,17326.0,30.398,-97.718,652257,251749,3.0,39.82,2.6,0.35,6.44,368.0,2210,2210,b'GMC',b'Yukon',b'2005',2017-04-05
1421960,1421960,2017-04-05 00:11:00+00:00,2017-04-05 00:22:09+00:00,-97.765,30.231,6355.0,30.243,-97.728,652356,89311,1.5,10.3,0.99,0.25,2.79,175.0,2385,2385,b'Kia',b'Soul',b'2015',2017-04-05
1421961,1421961,2017-04-05 00:11:03+00:00,2017-04-05 00:19:40+00:00,-97.741,30.276,3227.0,30.259,-97.759,652086,134822,1.5,7.72,0.99,0.25,2.15,190.0,2796,2796,b'Honda',b'Civic',b'2012',2017-04-05
1421962,1421962,2017-04-05 00:11:06+00:00,2017-04-05 00:19:07+00:00,-97.823,30.175,5313.0,30.216,-97.797,652357,186953,1.5,8.87,0.99,0.25,2.01,267.0,4631,4631,b'Mini Cooper',b'S Countryman',b'2012',2017-04-05
1421963,1421963,2017-04-05 00:11:24+00:00,2017-04-05 00:16:47+00:00,-97.754,30.244,2986.0,30.263,-97.741,652297,12328,1.5,6.76,0.99,0.25,1.35,157.0,4807,4807,b'Hyundai',b'Sonata',b'2014',2017-04-05
1421964,1421964,2017-04-05 00:11:35+00:00,2017-04-05 00:20:20+00:00,-97.74,30.267,3119.0,30.258,-97.76,652229,252248,1.5,7.69,0.99,0.25,2.19,118.0,2999,2999,b'Honda',b'Odyssey',b'2014',2017-04-05
1421965,1421965,2017-04-05 00:11:39+00:00,2017-04-05 00:16:32+00:00,-97.74,30.282,2144.0,30.266,-97.747,652358,249028,1.5,6.1,0.99,0.25,1.22,218.0,4846,4846,b'Ford',b'F 150',b'2011',2017-04-05
1421966,1421966,2017-04-05 00:12:04+00:00,2017-04-05 00:17:14+00:00,-97.743,30.288,2446.0,30.279,-97.727,652088,2626,1.5,6.35,0.99,0.25,1.29,199.0,3085,3085,b'Hyundai',b'Sonata',b'2015',2017-04-05
1421967,1421967,2017-04-05 00:12:13+00:00,2017-04-05 00:21:29+00:00,-97.706,30.282,3962.0,30.266,-97.736,652096,122661,1.5,8.34,0.99,0.25,2.32,182.0,3406,3406,b'Mercedes-Benz',b'CLS-Class',b'2010',2017-04-05
1421968,1421968,2017-04-05 00:12:15+00:00,2017-04-05 00:25:09+00:00,-97.705,30.267,4883.0,30.27,-97.742,652359,6082,1.5,9.83,0.99,0.25,3.23,183.0,1653,1653,b'Hyundai',b'Elantra',b'2015',2017-04-05
1421969,1421969,2017-04-05 00:12:46+00:00,2017-04-05 00:24:05+00:00,-97.713,30.319,8141.0,30.266,-97.739,652124,252249,1.5,11.45,0.99,0.25,2.83,188.0,4152,4152,b'Toyota',b'Sienna',b'2013',2017-04-05
1421970,1421970,2017-04-05 00:12:48+00:00,2017-04-05 00:20:07+00:00,-97.734,30.315,3640.0,30.288,-97.745,652360,122244,1.5,7.65,0.99,0.25,1.83,136.0,4127,4127,b'Audi',b'A4',b'2007',2017-04-05
1421971,1421971,2017-04-05 00:13:07+00:00,2017-04-05 00:27:39+00:00,-97.668,30.202,18828.0,30.256,-97.8,652059,44792,1.5,18.91,0.99,0.25,3.64,309.0,3471,3471,b'Chrysler',b'200',b'2015',2017-04-05
1421972,1421972,2017-04-05 00:13:12+00:00,2017-04-05 00:16:57+00:00,-97.732,30.297,1908.0,30.302,-97.721,652361,4897,1.5,6.06,0.99,0.25,0.94,255.0,4626,4626,b'MINI',b'Cooper Countryman',b'2016',2017-04-05
1421973,1421973,2017-04-05 00:14:18+00:00,2017-04-05 00:32:16+00:00,-97.783,30.259,13420.0,30.325,-97.743,652362,36901,1.5,16.41,0.99,0.25,4.49,240.0,2199,2199,b'Chevrolet',b'Equinox',b'2012',2017-04-05
1421974,1421974,2017-04-05 00:14:25+00:00,2017-04-05 00:26:44+00:00,-97.708,30.336,5323.0,30.301,-97.699,652363,70424,1.5,9.95,0.99,0.25,3.08,130.0,4033,4033,b'Honda',b'Civic',b'2005',2017-04-05
1421975,1421975,2017-04-05 00:15:01+00:00,2017-04-05 00:22:13+00:00,-97.742,30.285,2088.0,30.269,-97.748,652306,46933,3.0,12.12,2.6,0.35,2.53,334.0,4222,4222,b'Volkswagen',b'Jetta',b'2008',2017-04-05
1421976,1421976,2017-04-05 00:15:07+00:00,2017-04-05 00:27:16+00:00,-97.723,30.408,17757.0,30.271,-97.749,652364,3278,1.5,17.63,0.99,0.25,3.04,302.0,2885,2885,b'Toyota',b'Camry Hybrid',b'2008',2017-04-05
1421977,1421977,2017-04-05 00:15:11+00:00,2017-04-05 00:33:38+00:00,-97.667,30.202,17114.0,30.264,-97.742,651990,252250,1.5,18.83,0.99,0.25,4.61,430.0,3767,3767,b'Toyota',b'Corolla',b'2014',2017-04-05
1421978,1421978,2017-04-05 00:15:19+00:00,2017-04-05 00:27:18+00:00,-97.787,30.28,6607.0,30.245,-97.762,652275,3160,1.5,10.67,0.99,0.25,3.0,339.0,1823,1823,b'Acura',b'TSX',b'2010',2017-04-05
1421979,1421979,2017-04-05 00:15:29+00:00,2017-04-05 00:31:53+00:00,-97.746,30.291,4406.0,30.27,-97.751,652365,121691,1.5,10.41,0.99,0.25,4.1,245.0,3899,3899,b'Toyota',b'RAV4',b'2009',2017-04-05
1421980,1421980,2017-04-05 00:15:45+00:00,2017-04-05 00:23:55+00:00,-97.769,30.272,7680.0,30.266,-97.806,651662,33365,1.5,10.36,0.99,0.25,2.04,497.0,4430,4430,b'Toyota',b'Camry',b'2014',2017-04-05
1421981,1421981,2017-04-05 00:15:51+00:00,2017-04-05 00:24:48+00:00,-97.741,30.365,4757.0,30.358,-97.717,652196,252251,1.5,8.76,0.99,0.25,2.24,266.0,3300,3300,b'Toyota',b'RAV4',b'2013',2017-04-05
1421982,1421982,2017-04-05 00:16:11+00:00,2017-04-05 00:19:43+00:00,-97.75,30.242,1807.0,30.257,-97.747,652156,250997,1.5,6.06,0.99,0.25,0.89,203.0,4822,4822,b'Honda',b'Civic',b'2009',2017-04-05
1421983,1421983,2017-04-05 00:16:28+00:00,2017-04-05 00:39:15+00:00,-97.748,30.237,18817.0,30.328,-97.74,652366,24368,1.5,20.99,0.99,0.25,5.7,201.0,1107,1107,b'Mitsubishi',b'Mirage',b'2015',2017-04-05
1421984,1421984,2017-04-05 00:16:30+00:00,2017-04-05 00:26:12+00:00,-97.744,30.39,6717.0,30.369,-97.795,652318,190024,1.5,10.16,0.99,0.25,2.43,289.0,886,886,b'Toyota',b'Corolla',b'2010',2017-04-05
1421985,1421985,2017-04-05 00:16:35+00:00,2017-04-05 00:21:13+00:00,-97.748,30.281,2215.0,30.27,-97.736,652367,10401,1.5,6.08,0.99,0.25,1.16,153.0,3746,3746,b'Toyota',b'4Runner',b'2008',2017-04-05
1421986,1421986,2017-04-05 00:16:44+00:00,2017-04-05 00:34:25+00:00,-97.743,30.272,14799.0,30.358,-97.784,652334,33843,1.5,17.19,0.99,0.25,4.42,178.0,2679,2679,b'Toyota',b'Corolla',b'2012',2017-04-05
1421987,1421987,2017-04-05 00:16:54+00:00,2017-04-05 00:21:13+00:00,-97.734,30.245,1998.0,30.258,-97.739,652298,88972,1.5,6.06,0.99,0.25,1.08,226.0,833,833,b'Nissan',b'Maxima',b'2009',2017-04-05
1421988,1421988,2017-04-05 00:17:10+00:00,2017-04-05 00:29:58+00:00,-97.764,30.264,5375.0,30.272,-97.731,652368,65968,1.5,10.11,0.99,0.25,3.2,193.0,1697,1697,b'Acura',b'MDX',b'2002',2017-04-05
1421989,1421989,2017-04-05 00:17:21+00:00,2017-04-05 00:30:10+00:00,-97.744,30.278,4326.0,30.26,-97.758,652369,2780,1.5,9.46,0.99,0.25,3.21,249.0,4073,4073,b'Chrysler',b'Sebring',b'2007',2017-04-05
1421990,1421990,2017-04-05 00:17:43+00:00,2017-04-05 00:24:13+00:00,-97.738,30.301,3277.0,30.284,-97.721,652370,40238,1.5,7.22,0.99,0.25,1.63,235.0,3725,3725,b'Mazda',b'3',b'2012',2017-04-05
1421991,1421991,2017-04-05 00:17:48+00:00,2017-04-05 00:27:00+00:00,-97.739,30.258,4713.0,30.237,-97.716,652214,20220,1.5,8.79,0.99,0.25,2.3,109.0,3883,3883,b'Lexus',b'ES 300',b'2002',2017-04-05
1421992,1421992,2017-04-05 00:17:54+00:00,2017-04-05 00:33:14+00:00,-97.662,30.286,9558.0,30.325,-97.704,652371,176555,1.5,13.35,0.99,0.25,3.84,94.0,3398,3398,b'Hyundai',b'Sonata',b'2015',2017-04-05
1421993,1421993,2017-04-05 00:17:57+00:00,2017-04-05 00:37:02+00:00,-97.747,30.264,17970.0,30.203,-97.668,652372,252252,1.5,19.51,0.99,0.25,4.77,98.0,4019,4019,b'Honda',b'Civic',b'2015',2017-04-05
1421994,1421994,2017-04-05 00:18:06+00:00,2017-04-05 00:21:42+00:00,-97.754,30.22,1906.0,30.227,-97.756,652373,206435,1.5,6.06,0.99,0.25,0.9,357.0,3706,3706,b'Ford',b'Escape',b'2017',2017-04-05
