,DriverID,RideID,Location,Time,Date,ChargeKwhNeeded
0,4746,1421907,30.392 -97.765,00:07:12,2017-04-05,4.159026500339056
1,4746,1422401,30.49 -97.81,01:47:42,2017-04-05,4.159026500339056
2,4746,1423977,30.381 -97.732,12:34:13,2017-04-05,4.159026500339056
3,4746,1424530,30.461 -97.795,14:20:37,2017-04-05,4.159026500339056
4,1432,1422285,30.254 -97.776,01:26:54,2017-04-05,19.754624814789914
5,1432,1424110,30.209 -97.81,13:11:38,2017-04-05,19.754624814789914
6,1845,1422381,30.281 -97.736,01:41:23,2017-04-05,16.73767408997689
7,1845,1424935,30.203 -97.666,15:59:06,2017-04-05,16.73767408997689
8,1991,1421935,30.26 -97.688,00:14:34,2017-04-05,1.8748328179153113
9,1991,1422307,30.26 -97.72,01:28:35,2017-04-05,1.8748328179153113
10,1991,1422470,30.262 -97.742,01:58:07,2017-04-05,1.8748328179153113
11,1991,1422889,30.267 -97.738,03:22:10,2017-04-05,1.8748328179153113
12,1991,1424867,30.269 -97.746,15:32:04,2017-04-05,1.8748328179153113
13,1991,1424975,30.257 -97.808,15:59:44,2017-04-05,1.8748328179153113
14,1991,1425351,30.268 -97.742,17:27:07,2017-04-05,1.8748328179153113
15,1991,1426024,30.203 -97.667,20:08:55,2017-04-05,1.8748328179153113
16,1991,1426753,30.265 -97.731,22:28:14,2017-04-05,1.8748328179153113
17,3802,1421940,30.258 -97.739,00:13:28,2017-04-05,2.8402526021513745
18,3802,1423771,30.203 -97.668,09:47:54,2017-04-05,2.8402526021513745
19,3802,1423943,30.231 -97.788,11:58:46,2017-04-05,2.8402526021513745
20,3802,1424222,30.263 -97.741,13:25:25,2017-04-05,2.8402526021513745
21,3802,1424898,30.265 -97.743,15:43:07,2017-04-05,2.8402526021513745
22,3802,1425964,30.261 -97.741,19:48:37,2017-04-05,2.8402526021513745
23,2380,1422877,30.44 -97.749,03:38:05,2017-04-05,11.608298340303943
24,2170,1423800,30.266 -97.741,10:19:06,2017-04-05,4.113319337301694
25,2170,1424354,30.325 -97.727,14:02:23,2017-04-05,4.113319337301694
