,Unnamed: 0,DriverID,RideID,Location,Time,Date,latitude,longitude
203,203,248,1422506,30.293000000000003 -97.744,02:11:09,2017-04-05,30.293000000000003,-97.744
204,204,248,1425749,30.241 -97.749,18:57:54,2017-04-05,30.241,-97.749
205,205,248,1426160,30.203000000000003 -97.66799999999999,20:43:28,2017-04-05,30.203000000000003,-97.66799999999999
206,206,248,1426484,30.203000000000003 -97.66799999999999,22:05:02,2017-04-05,30.203000000000003,-97.66799999999999
207,207,2911,1422385,30.393 -97.848,02:11:03,2017-04-05,30.393,-97.848
208,208,1568,1422390,30.45 -97.816,02:08:40,2017-04-05,30.45,-97.816
209,209,1568,1423152,30.267 -97.75299999999999,04:30:07,2017-04-05,30.267,-97.75299999999999
210,210,318,1422395,30.269000000000002 -97.756,01:43:24,2017-04-05,30.269000000000002,-97.756
211,211,318,1423040,30.218000000000004 -97.68700000000001,04:00:46,2017-04-05,30.218000000000004,-97.68700000000001
212,212,318,1423261,30.338 -97.704,05:03:23,2017-04-05,30.338,-97.704
213,213,318,1423644,30.281999999999996 -97.736,07:22:31,2017-04-05,30.281999999999996,-97.736
214,214,318,1423691,30.284000000000002 -97.71700000000001,08:03:30,2017-04-05,30.284000000000002,-97.71700000000001
215,215,4241,1423372,30.284000000000002 -97.751,05:29:32,2017-04-05,30.284000000000002,-97.751
216,216,4241,1425769,30.314 -97.994,19:19:38,2017-04-05,30.314,-97.994
217,217,4638,1422482,30.401999999999997 -97.721,02:21:23,2017-04-05,30.401999999999997,-97.721
218,218,4638,1423311,30.296 -97.721,05:04:39,2017-04-05,30.296,-97.721
219,219,4638,1423549,30.225 -97.79,06:40:36,2017-04-05,30.225,-97.79
220,220,4638,1425502,30.248 -97.77,18:05:14,2017-04-05,30.248,-97.77
221,221,4753,1422489,30.252 -97.723,02:06:15,2017-04-05,30.252,-97.723
222,222,4753,1423467,30.229 -97.8,06:13:57,2017-04-05,30.229,-97.8
223,223,1454,1422500,30.266 -97.74600000000001,02:23:50,2017-04-05,30.266,-97.74600000000001
224,224,1454,1422668,30.26 -97.738,02:33:57,2017-04-05,30.26,-97.738
225,225,1454,1422832,30.288 -97.745,03:24:59,2017-04-05,30.288,-97.745
226,226,1454,1423353,30.274 -97.75299999999999,05:13:43,2017-04-05,30.274,-97.75299999999999
227,227,1454,1423390,30.284000000000002 -97.743,05:24:57,2017-04-05,30.284000000000002,-97.743
228,228,1454,1424928,30.203000000000003 -97.666,15:56:13,2017-04-05,30.203000000000003,-97.666
229,229,1454,1425054,30.209 -97.697,16:23:28,2017-04-05,30.209,-97.697
230,230,1454,1425137,30.266 -97.73700000000001,16:42:44,2017-04-05,30.266,-97.73700000000001
231,231,3554,1423058,30.215 -97.749,03:59:17,2017-04-05,30.215,-97.749
232,232,4781,1422526,30.267 -97.73899999999999,02:17:33,2017-04-05,30.267,-97.73899999999999
233,233,4781,1423088,30.303 -97.729,04:18:22,2017-04-05,30.303,-97.729
234,234,4781,1423333,30.337 -97.70299999999999,05:20:00,2017-04-05,30.337,-97.70299999999999
235,235,4781,1426789,30.269000000000002 -97.74700000000001,23:00:16,2017-04-05,30.269000000000002,-97.74700000000001
236,236,1259,1422530,30.578000000000003 -97.861,02:22:11,2017-04-05,30.578000000000003,-97.861
237,237,1259,1422949,30.266 -97.73899999999999,04:04:45,2017-04-05,30.266,-97.73899999999999
238,238,4840,1422544,30.404 -97.71,02:35:45,2017-04-05,30.404,-97.71
239,239,4840,1423097,30.26 -97.756,04:06:45,2017-04-05,30.26,-97.756
240,240,3521,1422547,30.203000000000003 -97.666,02:22:14,2017-04-05,30.203000000000003,-97.666
241,241,3521,1423120,30.265 -97.749,04:21:01,2017-04-05,30.265,-97.749
242,242,3521,1423474,30.305 -97.73,05:58:16,2017-04-05,30.305,-97.73
243,243,2747,1422561,30.276 -97.68,02:20:56,2017-04-05,30.276,-97.68
244,244,2747,1423065,30.346 -97.728,04:13:34,2017-04-05,30.346,-97.728
245,245,3475,1422579,30.271 -97.734,02:26:41,2017-04-05,30.271,-97.734
246,246,3475,1422867,30.296 -97.71799999999999,03:21:04,2017-04-05,30.296,-97.71799999999999
247,247,3475,1422997,30.354 -97.75299999999999,03:47:44,2017-04-05,30.354,-97.75299999999999
248,248,3475,1423108,30.345 -97.729,04:09:58,2017-04-05,30.345,-97.729
249,249,3475,1423274,30.339000000000002 -97.73,04:50:39,2017-04-05,30.339000000000002,-97.73
250,250,4119,1423406,30.338 -97.647,05:32:36,2017-04-05,30.338,-97.647
251,251,3475,1423480,30.271 -97.729,06:02:56,2017-04-05,30.271,-97.729
252,252,3475,1423526,30.285 -97.775,06:19:37,2017-04-05,30.285,-97.775
253,253,3475,1423554,30.25 -97.76700000000001,06:32:38,2017-04-05,30.25,-97.76700000000001
254,254,3475,1423579,30.285 -97.743,06:47:26,2017-04-05,30.285,-97.743
255,255,3475,1423609,30.261999999999997 -97.742,06:59:49,2017-04-05,30.261999999999997,-97.742
